facility_name,facility_type_code,facility_type,address,city,zip_code,county,latitude,longitude,trauma_center_flag,fips_county_code,is_primary_care,is_hospital,is_emergency_department_proxy,has_valid_coordinates
SELECT SURGICAL,ASC,SURGICAL CLINIC,"1127 WILSHIRE BLVD, SUITE 1000",LOS ANGELES,90017,Los Angeles,34.053129,-118.2638115,,6037,False,False,False,True
SELECTCARE HOME HEALTH,HHA,HOME HEALTH AGENCY,"7335 TOPANGA CANYON BLVD, SUITE 201",CANOGA PARK,91303,Los Angeles,34.203906,-118.6061805,,6037,False,False,False,True
"SELECTIVE CARE HOSPICE, INC.",HOSPICE,HOSPICE,"315 W VERDUGO AVE, SUITE F",BURBANK,91502,Los Angeles,34.17102,-118.314441,,6037,False,False,False,True
"SELECTIVE HOSPICE, INC.",HOSPICE,HOSPICE,"11712 MOORPARK ST, SUITE 212B",STUDIO CITY,91604,Los Angeles,34.150212,-118.3881645,,6037,False,False,False,True
"SENIOR CONGREGATE LIVING, INC.",CLHF,CONGREGATE LIVING HEALTH FACILITY,11847 BALBOA BLVD,GRANADA HILLS,91344,Los Angeles,34.285392,-118.502388,,6037,False,False,False,True
"SENIOR HEALTH ADVOCATES, INC.",HHA,HOME HEALTH AGENCY,"303 N GLENOAKS BLVD, SUITE 233",BURBANK,91502,Los Angeles,34.184367,-118.3090455,,6037,False,False,False,True
SENIOR PLACEMENT AVENUE,REFRLAG,REFERRAL AGENCY,"6260 LAUREL CANYON BLVD, UNIT 203A",NORTH HOLLYWOOD,91606,Los Angeles,34.184646,-118.3963095,,6037,False,False,False,True
"SENIOR SAFE HOME HEALTH, INC.",HHA,HOME HEALTH AGENCY,"444 E HUNTINGTON DR, SUITE 211",ARCADIA,91006,Los Angeles,34.13966602,-118.021113,,6037,False,False,False,True
SENIOR SOLUTION HOME HEALTH INC,HHA,HOME HEALTH AGENCY,"1915 W GLENOAKS BLVD, UNIT 201",GLENDALE,91201,Los Angeles,34.174575,-118.2939345,,6037,False,False,False,True
"SENIORITY HOME HEALTH, INC.",HHA,HOME HEALTH AGENCY,"1253 VINE ST, SUITE 21A",LOS ANGELES,90038,Los Angeles,34.0940802,-118.3278284,,6037,False,False,False,True
SEONA HOME HEALTH,HHA,HOME HEALTH AGENCY,"8363 RESEDA BLVD, SUITE 201",NORTHRIDGE,91324,Los Angeles,34.222519,-118.536738,,6037,False,False,False,True
"SEONA HOSPICE CARE, INC",HOSPICE,HOSPICE,"8363 RESEDA BLVD, UNIT 206",NORTHRIDGE,91324,Los Angeles,34.222563,-118.536291,,6037,False,False,False,True
SERA HEALTHCARE,HHA,HOME HEALTH AGENCY,"300 NORTH 3RD STREET, SUITE 254",BURBANK,91502,Los Angeles,34.18387306,-118.3095865,,6037,False,False,False,True
SERAFIM HOSPICE INC,HOSPICE,HOSPICE,"4419 VAN NUYS BLVD, SUITE 401",SHERMAN OAKS,91403,Los Angeles,34.151571,-118.4489055,,6037,False,False,False,True
SERANI HOMEHEALTH,HHA,HOME HEALTH AGENCY,"14545 FRIAR ST, SUITE 237E",VAN NUYS,91411,Los Angeles,34.185816,-118.4503365,,6037,False,False,False,True
SERANI HOSPICE,HOSPICE,HOSPICE,"1010 N CENTRAL AVE, UNIT 301",GLENDALE,91202,Los Angeles,34.160026,-118.256822,,6037,False,False,False,True
SERENADE HEALTHCARE,HOSPICE,HOSPICE,"6355 TOPANGA CANYON BLVD, SUITE 355",WOODLAND HILLS,91367,Los Angeles,34.186336,-118.60657,,6037,False,False,False,True
"SERENE HOME HEALTH, INC.",HHA,HOME HEALTH AGENCY,"6412 MATILIJA AVE, SUITE 207",VAN NUYS,91401,Los Angeles,34.187184,-118.4331645,,6037,False,False,False,True
"SERENE HOSPICE CARE, INC.",HOSPICE,HOSPICE,"3131 FOOTHILL BLVD, SUITE J",LA CRESCENTA,91214,Los Angeles,34.229052,-118.2474315,,6037,False,False,False,True
